,Fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,Fixed-broadband subscriptions per 100 inhabitants,,,,,,,,,,,,,,,,,,Metadata for fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,3,12,15,16,20,224,415,537,799,282,1'107,1'245,1'337,1'347,,,,,0.06,0.25,0.32,0.35,0.45,5.10,9.62,12.65,19.06,6.79,26.81,30.22,32.42,32.53,,,,,,,,,,,,,,,,,Cable & Wireless South Atlantic Ltd.,,Cable & Wireless South Atlantic Ltd.,,Cable & Wireless South Atlantic Ltd.,,Cable & Wireless South Atlantic Ltd.,,Cable & Wireless South Atlantic Ltd.,,Sure South Atlantic Ltd.,,Sure South Atlantic Ltd.,,Sure South Atlantic Ltd.,,Sure South Atlantic Ltd.,,Sure South Atlantic Ltd.
St. Kitts and Nevis,,,500,2'000,4'400,6'500,8'800,9'600,11'104,13'000,14'600,12'600,13'000,13'300,14'018,16'376,16'400,,,,1.07,4.19,9.09,13.23,17.66,,21.73,25.13,27.89,23.79,24.26,24.54,25.59,29.57,29.31,,,,,,,,,,,,,,,ECTEL.,,ECTEL.,,ECTEL.,,ECTEL.,,ECTEL.,,ITU research based on ECTEL.,,ITU research based on ECTEL.,Estimate. Refers to March 2013.,ITU research based on ECTEL.,,ECTEL.,,ECTEL,,ITU estimate.
St. Lucia,,,,1'400,3'800,7'000,7'176,11'078,15'527,18'586,20'491,21'340,24'573,24'704,28'179,28'426,29'674,,,,,0.87,2.32,4.23,4.28,6.51,8.99,10.61,11.55,11.90,13.59,13.55,15.35,15.37,15.93,,,,,,,,,ITU estimate based on ECTEL.,,ITU estimate based on ECTEL.,,ITU estimate based on ECTEL.,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,ECTEL.,,ECTEL,,ECTEL.
St. Pierre & Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,81,1'086,1'146,1'320,3'647,5'618,7'972,9'364,11'507,12'502,13'249,13'616,14'604,14'716,16'960,21'865,,,0.08,1.00,1.06,1.22,3.35,5.16,7.31,8.58,10.53,11.44,12.12,12.45,13.35,13.46,15.51,19.99,,,,,,,,,,,,,,,,,National Telecommunications Regulatory Comission.,,National Telecommunications Regulatory Comission.,,National Telecommunications Regulatory Comission.,,National Telecommunications Regulatory Comission,,National Telecommunications Regulatory Comission,,National Telecommunications Regulatory Comission,,National Telecommunications Regulatory Comission,,ECTEL.,,ECTEL.,,National Telecommunications Regulatory Comission
Sudan,,,,,793,1'269,2'065,42'500,44'625,,13'500,17'430,24'789,25'707,20'661,27'683,25'982,,,,,,0.00,0.00,0.01,0.11,0.11,,0.03,0.05,0.07,0.07,0.05,0.07,0.06,,,,,,,,,,,,,,,,,National Telecommunication Corporation (NTC).,,National Telecommunication Corporation (NTC).,,,,National Telecommunication Corporation (NTC),,National Telecommunication Corporation (NTC),,National Telecommunication Corporation (NTC),,National Telecommunication Corporation (NTC),,National Telecommunication Corporation (NTC),,National Telecommunication Corporation (NTC),,National Telecommunication Corporation (NTC)
Suriname,,,94,216,420,1'107,2'656,4'205,5'756,9'069,15'143,23'160,29'268,37'095,46'400,52'691,71'217,,,,0.02,0.04,0.09,0.22,0.53,0.82,1.12,1.74,2.88,4.37,5.48,6.88,8.53,9.61,12.88,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,Telecommunications Authority Suriname.,,Telecommunications Authority Suriname (TAS),Preliminary.,Telecommunications Authority Suriname (TAS),,Telecommunications Authority Suriname (TAS),,,,ITU estimate.,,Telecommunications Authority Suriname (TAS),,Telecommunications Authority Suriname (TAS)
Swaziland,,,,,,,,,772,1'504,3'658,8'024,3'429,4'200,5'100,6'000,7'000,3,,,,,,,,,0.07,0.13,0.31,0.66,0.28,0.34,0.40,0.47,0.54,,,,,,,,,,,,,,,,,,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation,,Swaziland Posts and Telecommunications Corporation ,,Swaziland Posts and Telecommunications Corporation,,Swaziland Posts and Telecommunications Corporation,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Sweden,249'000,587'000,840'000,1'095'000,1'410'000,2'522'000,2'489'000,2'780'298,2'902'833,2'945'093,2'999'537,3'027'459,3'073'174,3'147'615,3'281'408,3'496'240,3'540'948,0.78731927,2.81,6.60,9.43,12.25,15.70,27.93,27.38,30.36,31.43,31.63,31.97,32.04,32.31,32.89,34.07,36.07,36.28,,,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,,ITU estimate.,,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,,Swedish Post and Telecom Agency (PTS).,,Swedish Post and Telecom Agency (PTS).,,Swedish Post and Telecom Agency (PTS).,,Swedish Post and Telecom Agency (PTS).,,Swedish Post and Telecom Authority,,Swedish Post and Telecom Authority,,Swedish Post and Telecom Authority,,Swedish Post and Telecom Authority,,Swedish Post and Telecom Authority,,Swedish Post and Telecom Authority,As per 30 June 2016. No data yet available for 31 December 2016.,Swedish Post and Telecom Authority
Switzerland,56'416,140'000,455'220,783'874,1'227'397,1'669'217,2'050'184,2'380'588,2'556'297,2'741'199,2'913'517,3'078'338,3'212'371,3'438'094,3'464'900,3'716'240,3'850'000,,0.79,1.94,6.29,10.75,16.71,22.53,27.40,31.47,33.40,35.40,37.21,38.89,40.17,42.56,42.47,45.11,46.27,,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,Office Fédéral de la Communication,,,,Office Fédéral de la Communication,,Office Fédéral de la Communication,,Office Fédéral de la Communication,Estimates,Office Fédéral de la Communication,Estimates,Office Fédéral de la Communication,Estimates,Office Fédéral de la Communication
Syria,,,,,600,2'700,5'218,6'957,11'055,34'657,69'817,121'300,242'154,346'146,501'194,700'000,913'684,1.043945359,,,,,0.00,0.01,0.03,0.04,0.05,0.16,0.32,0.56,1.11,1.58,2.28,3.14,4.01,,,,,,,,,,,Syrian Telecommunications Establishment (STE).,,ITU estimate.,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunication Establishment,,Syrian Telecommunication Establishment,,,,,,Syrian Telecommunication Regulatory Authority,,Syrian Telecommunication Regulatory Authority,,Syrian Telecommunication Regulatory Authority,,Syrian Telecommunication Regulatory Authority
"Taiwan, Province of China",229'000,1'133'000,2'100'000,3'043'273,3'751'214,4'340'889,4'505'800,4'790'191,5'024'378,4'997'719,5'311'603,5'515'932,6'448'823,7'011'934,7'436'620,5'656'330,5'686'003,,1.04,5.13,9.43,13.57,16.61,19.10,19.71,20.85,21.78,21.59,22.88,23.71,27.69,30.09,31.90,24.26,24.23,,,,,,,,,,,,,,,,,National Communications Commission,,National Communications Commission,,National Communications Commission,,National Communications Commission,,National Communications Commission,,National Communications Commission,,National Communications Commission,,National Communications Commission,,National Communications Commission,,National Communications Commission
Tajikistan,,,,10,,,,3'645,3'658,4'400,4'700,5'020,5'400,5'800,6'100,6'000,6'000,,,,,0.00,,,,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,,,,,,,,,Tajiktelecom.,,,,,,,,Tajiktelecom.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Tanzania,,,,,,2'589,2'998,3'394,6'422,6'947,7'554,28'268,41'325,56'425,84'600,106'000,137'000,,,,,,,0.01,0.01,0.01,0.02,0.02,0.02,0.06,0.09,0.11,0.17,0.20,0.25,,,,,,,,,,,,,TCRA.,,TCRA.,,TCRA.,,TCRA.,,TCRA.,,Tanzania Communications Regulatory Authority (TCRA),,Tanzania Communications Regulatory Authority (TCRA),,Tanzania Communications Regulatory Authority (TCRA),,Tanzania Communications Regulatory Authority (TCRA),,ITU estimate.,,ITU estimate.,,ITU estimate.
TFYR Macedonia,,,,,,12'436,36'485,100'507,181'012,232'783,258'741,281'565,312'272,338'486,354'094,362'421,377'123,,,,,,,0.60,1.74,4.79,8.62,11.08,12.31,13.38,14.83,16.06,16.79,17.18,17.88,,,,,,,,,,,,,Agency for Electronic Communications (Agencija za elektronski komunikacii).,,Agency for Electronic Communications (Agencija za elektronski komunikacii).,June.,Agency for Electronic Communications (Agencija za elektronski komunikacii).,,Agency for Electronic Communications (Agencija za elektronski komunikacii).,,Agency for Electronic Communications,,Agency for Electronic Communications,,Agency for Electronic Communications,Q4.,Agency for Electronic Communications,,Agency for Electronic Communications,,Agency for Electronic Communications,,Agency for Electronic Communications,value in the third quarter of 2016,Agency for Electronic Communications
Thailand,,1'613,,11'611,164'775,555'495,893'548,1'293'341,2'072'799,2'624'278,3'251'851,3'895'000,4'519'000,5'192'000,5'440'000,6'229'000,7'219'000,,,0.00,,0.02,0.25,0.85,1.36,1.96,3.13,3.96,4.90,5.85,6.77,7.75,8.09,9.24,10.69,,,,,Post and Telegraph Department (PTD).,,,,Ministry of Information and Communication Authority (MICT).,,ITU research based on NBTC website.,,ITU research based on NBTC website.,,ITU research based on NBTC website.,,ITU research based on NBTC website.,,ITU research based on NBTC website.,,ITU research based on NBTC website.,,Ministry of Information and Communication Technology,,Ministry of Information and Communication Technology,,Ministry of Information and Communication Technology,,Ministry of Information and Communication Technology,,Ministry of Information and Communication Technology,NBTC,Ministry of Information and Communication Technology,,Ministry of Digital Economy and Society
Timor-Leste,,,,9,13,22,29,50,71,471,500,550,600,700,1'028,1'028,1'028,,,,,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.05,0.05,0.06,0.09,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,National Communications Authority ,,National Communications Authority ,,National Communications Authority 
Togo,,,,,,,,1'201,1'911,4'166,27'225,34'039,41'493,6'915,12'610,63'108,44'613,,,,,,,,,0.02,0.03,0.07,0.43,0.53,0.62,0.10,0.18,0.88,0.61,,,,,,,,,,,,,,,,,Autorité de réglementation des secteurs de postes et de télécommunications (ART&P).,,Autorité de réglementation des secteurs de postes et de télécommunications (ART&P).,,Autorité de réglementation des secteurs de postes et de télécommunications (ART&P).,ADLS and leased line subscriptions. ,Autorité de Règlementation des secteurs de Postes et Télécommunications,,Autorité de Règlementation des secteurs de Postes et Télécommunications,"ADSL,Liaison Spécialisée Internet",Autorité de Règlementation des secteurs de Postes et Télécommunications,"ADSL,Liaison Spécialisée Internet",Autorité de Règlementation des secteurs de Postes et Télécommunications,,Autorité de Règlementation des secteurs de Postes et de Télécommunications,"ADSL, dedicated internet line, Wimax, Ev-Do",Autorité de Règlementation des secteurs de Postes et de Télécommunications,"ADSL, dedicated internet line, Wimax, Ev-Do",Autorité de Règlementation des secteurs de Postes et de Télécommunications
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,11,22,334,645,633,780,721,1'000,1'100,1'300,1'500,1'700,1'800,2'458,3'000,,,,0.01,0.02,0.33,0.64,0.62,0.76,0.70,0.97,1.06,1.24,1.43,1.61,1.70,2.31,2.80,,,,,,,Tonga Communications Corporation Ltd.,,ITU estimate.,,ITU estimate.,,Tonga Communications Corporation Ltd.,,Tonga Communications Corporation Ltd.,,Tonga Communications Corporation Ltd.,,Tonga Communications Corporation Ltd.,,ITU estimate.,,ITU estimate.,,Ministry of Information and Communication,,ITU estimate.,,ITU estimate., ,ITU estimate.,,"Ministry of Meteorology, Energy, Information, Disaster Management, Environment and Climate Change, Communication (MEIDECC) ",,ITU estimate.
Trinidad & Tobago,,,176,884,4'233,10'803,20'613,35'491,85'447,130'057,162'850,172'318,201'410,212'498,246'740,268'965,255'427,,,,0.01,0.07,0.33,0.83,1.58,2.71,6.49,9.83,12.26,12.93,15.06,15.84,18.36,19.97,18.94,,,,,,,Telecommunications Services of Trinidad and Tobago (TSTT).,,Telecommunications Services of Trinidad and Tobago (TSTT).,,Ministry of Public Administration and Information.,,Ministry of Public Administration and Information.,,Ministry of Public Administration and Information.,September.,Ministry of Public Administration and Information.,,Telecommunications Authority of Trinidad and Tobago.,,Telecommunications Authority of Trinidad and Tobago,,Telecommunications Authority of Trinidad and Tobago (TATT),,Telecommunications Authority of Trinidad and Tobago (TATT),,Telecommunications Authority of Trinidad and Tobago (TATT),,Telecommunications Authority of Trinidad and Tobago (TATT),,Telecommunications Authority of Trinidad and Tobago (TATT),,Telecommunications Authority of Trinidad and Tobago (TATT),,Telecommunications Authority of Trinidad and Tobago (TATT)
Tunisia,,,26,259,2'839,17'573,43'845,95'916,227'328,372'887,482'204,559'358,527'308,519'984,498'730,573'977,641'113,,,,0.00,0.00,0.03,0.17,0.43,0.93,2.19,3.55,4.54,5.20,4.85,4.73,4.49,5.11,5.65,,,,,,,Ministère des Technologies de la Communication.,,Ministère des Technologies de la Communication.,,Ministère des Technologies de la Communication.,,Ministère des Technologies de la Communication.,,Ministère des Technologies de la Communication.,"Incl. ISDN, Frame Relay and VSAT.",Ministère des Technologies de la Communication.,,Ministère des Technologies de la Communication.,,Ministère des Technologies de la Communication.,,Secrétariat d'Etat des Technologies de la Communication,,Ministère des Technologies de l'Information et de la Communication,,Ministère des Technologies de la Communication et de l'Economie Numérique,,Ministère des Technologies de la Communication et de l'Economie Numérique,,Instance Nationale des Télécommunications,,Instance Nationale des Télécommunications,,Instance Nationale des Télécommunications
Turkey,,10'915,21'205,199'324,577'931,1'589'768,2'773'685,4'753'757,5'756'965,6'450'287,7'098'163,7'591'367,7'868'968,8'893'391,8'866'361,9'504'594,10'499'692,,,0.02,0.03,0.30,0.86,2.35,4.04,6.84,8.18,9.05,9.84,10.39,10.63,11.87,11.69,12.39,13.55,,,,,Türk Telekomünikasyon A.S.,,Telecommunications Authority.,,Telecommunications Authority.,,Telecommunications Authority.,,Telecommunications Authority.,,OECD.,,Information and Communication Technologies Authority.,,Information and Communication Technologies Authority.,,Information and Communication Technologies Authority (ICTA),,Information and Communication Technologies Authority (ICTA),,Information and Communication Technologies Authority (ICTA),,Information and Communication Technologies Authority (ICTA),,Information and Communication Technologies Authority (ICTA),,Information and Communication Technologies Authority (ICTA),,Information and Communication Technologies Authority (ICTA),,Information and Communication Technologies Authority (ICTA)
Turkmenistan,,,,,,,,,75,465,723,1'100,1'400,1'800,2'300,3'000,4'000,,,,,,,,,,0.00,0.01,0.01,0.02,0.03,0.03,0.04,0.06,0.07,,,,,,,,,,,,,,,,,,,Ministry of Communications,,Ministry of Communications,,Ministry of Communications,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Turks & Caicos Is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,50,150,250,270,290,100,240,450,550,700,900,1'000,1'000,,,,,,0.52,1.55,2.57,2.77,2.96,1.02,2.44,4.57,5.58,7.09,9.10,10.08,10.06,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate. ,Natural disasters impacted the telecommunication network.,Tuvalu Telecom Corporation. ,,Tuvalu Telecom Corporation. ,,Tuvalu Telecom Corporation. ,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Uganda,,,,,,850,1'210,1'860,4'798,6'000,14'000,35'514,38'400,41'500,55'198,80'724,108'259,,,,,,,0.00,0.00,0.01,0.02,0.02,0.04,0.10,0.11,0.11,0.14,0.20,0.26,,,,,,,,,,,,,,,,,Uganda Communications Commission (UCC).,Dec.,Uganda Communications Commission (UCC).,Dec.,Uganda Communications Commission (UCC).,Dec.,Uganda Communications Commission,Dec.,Uganda Communications Commission,Dec,Uganda Communications Commission,,ITU estimate.,December,Uganda Communications Commission,December,Uganda Communications Commission,December ,Uganda Communications Commission
Ukraine,,,,,,130'000,520'000,800'000,1'600'000,1'907'697,2'955'862,3'170'384,3'644'976,3'996'550,3'945'575,4'978'813,5'125'499,0,,,,,,0.28,1.11,1.71,3.44,4.12,6.42,6.92,8.01,8.83,9.29,11.81,11.99,,,,,,,,,,,,Speed equal to or greater than 128kbit/s.,,,,,ITU estimate.,,ITU estimate.,,State Administration of Communications,,State Administration of Communications,,State Service of Special Communications and Information Protection of Ukraine,,State Service of Special Communications and Information Protection of Ukraine,,State Service of Special Communications and Information Protection of Ukraine,,State Service of Special Communications and Information Protection of Ukraine,,State Service of Special Communications and Information Protection of Ukraine,,State Service of Special Communications and Information Protection of Ukraine
United Arab Emirates,1'973,8'374,16'632,30'327,56'146,129'320,240'620,379'800,557'577,690'424,786'818,866'968,954'988,1'041'934,1'091'763,1'234'447,1'297'585,0.089717904,0.07,0.27,0.52,0.90,1.53,3.12,4.94,6.55,8.20,8.95,9.32,9.71,10.37,11.15,11.56,12.89,13.30,,,,,,,,,,,,,,,,,Telecommunications Regulatory Authority.,Excl. 1427 WiMax subscriptions.,Telecommunications Regulatory Authority (TRA),Excl. 2711 WiMax subscriptions.,Telecommunications Regulatory Authority (TRA),Excl. 3264 WiMax subscriptions.,Telecommunications Regulatory Authority (TRA),Excl. 3176 WiMax subscriptions,Telecommunications Regulatory Authority (TRA),Excl. 3203 WiMax subscriptions,Telecommunications Regulatory Authority (TRA),Excl. 3175 WiMax subscriptions,Telecommunications Regulatory Authority (TRA),"Include 2,878 WiMax subscriptions, and 1850 Satellite subscriptions. ",Telecommunications Regulatory Authority (TRA),,Telecommunications Regulatory Authority (TRA),,Telecommunications Regulatory Authority (TRA)
United Kingdom,52'890,330'960,1'356'481,3'113'702.33,6'123'907,9'898'653,13'013'000,15'606'000,17'310'023,17'877'223,19'151'508,20'588'901,21'685'668,23'039'803,23'729'800,24'652'316,"25,153,203",2,0.09,0.56,2.28,5.22,10.21,16.42,21.47,25.60,28.22,28.97,30.86,32.98,34.54,36.49,37.38,38.61,39.18,,,Office of Communications (Ofcom).,,Office of Communications (Ofcom).,,Office of Communications (Ofcom).,,Office of Communications (Ofcom).,,Office of Communications (Ofcom).,Excl. corporate connections.,Office of Communications (Ofcom).,Excl. corporate connections.,Office of Communications (Ofcom).,Excl. corporate connections.,Office of Communications (Ofcom).,Excl. corporate connections.,Office of Communications,Excl. corporate connections.,Office of Communications,Excl. corporate connections.,Office of Communications,Excl. corporate connections.,Office of Communications,Excl. corporate connections.,Office of Communications,,Office of Communications,,Office of Communications,,Office of Communications,,Office of Communications
United States,7'069'874,12'792'812,19'881'549,27'744'342,37'352'520,51'156'350,60'237'701,71'704'000,77'130'000,79'992'000,84'522'000,88'317'000,92'514'000,96'031'000,97'810'000,102'194'000,106'072'000,,2.48,4.45,6.85,9.47,12.64,17.16,20.02,23.60,25.15,25.85,27.07,28.04,29.14,30.00,30.32,31.43,32.37,,Over 200 kbps in at least one direction.,Federal Communications Commission (FCC).,Over 200 kbps in at least one direction.,Federal Communications Commission (FCC).,Over 200 kbps in at least one direction.,Federal Communications Commission (FCC).,Over 200 kbps in at least one direction.,Federal Communications Commission (FCC).,Over 200 kbps in at least one direction.,Federal Communications Commission (FCC).,Over 200 kbps in at least one direction.,Federal Communications Commission (FCC).,Over 200 kbps in at least one direction.,OECD.,,Federal Communications Commission (FCC).,"Data reflect subscriptions with associated transfer rates exceeding 200 kbps in at least one direction, consistent with the reporting threshold the FCC adopted in 2000.   ",Federal Communications Commission,"Data reflect subscriptions with associated transfer rates exceeding 200 kbps in at least one direction, consistent with the reporting threshold the FCC adopted in 2000.   ",Federal Communications Commission,"Data reflect subscriptions with associated transfer rates exceeding 200 kbps in at least one direction, consistent with the reporting threshold the FCC adopted in 2000.",Federal Communications Commission,"Data reflect subscriptions with associated transfer rates exceeding 200 kbps in at least one direction, consistent with the reporting threshold the FCC adopted in 2000.",Federal Communications Commission,"Data reflect subscriptions with associated transfer rates exceeding 200 kbps in at least one direction, consistent with the reporting threshold the FCC adopted in 2000.",Federal Communications Commission,"Data reflect subscriptions with associated transfer rates exceeding 200 kbps in at least one direction, consistent with the reporting threshold the FCC adopted in 2000.",Federal Communications Commission,"Please note that FCC collects information about broadband Internet access subscriptions in service that have downstream bandwidths exceeding 200 kbps, rather than 256 kbps.",Federal Communications Commission,"Please note that FCC collects information about broadband Internet access subscriptions in service that have downstream bandwidths exceeding 200 kbps, rather than 256 kbps. ",Federal Communications Commission,"FCC trend-based estimate using recent historical data.  Please note that FCC collects information about broadband Internet access subscriptions in service that have downstream bandwidths exceeding 200 kbps, rather than 256 kbps. ",Federal Communications Commission
Uruguay,,,,,27'000,48'539,106'582,165'018,244'531,317'484,383'549,472'876,580'669,737'078,840'261,900'933,921'772,,,,,,0.81,1.46,3.20,4.94,7.30,9.45,11.37,13.98,17.10,21.63,24.58,26.27,26.79,,,,,,,,,,,,,,,,,URSEC,,URSEC,,URSEC,,Unidad Reguladora de Servicios de Comunicaciones,,Unidad Reguladora de Servicios de Comunicaciones,Incl. ADSL and FTTH.,Unidad Reguladora de Servicios de Comunicaciones,Incl. ADSL and FTTH + LMDS.,Unidad Reguladora de Servicios de Comunicaciones,Incl. ADSL and FTTH + LMDS.,Unidad Reguladora de Servicios de Comunicaciones,Incl. ADSL and FTTH + LMDS.,Unidad Reguladora de Servicios de Comunicaciones,,Unidad Reguladora de Servicios de Comunicaciones
Uzbekistan,,,,2'757,5'514,8'271,8'639,19'180,65'960,88'735,118'000,147'760,220'575,306'300,820'450,1'787'786,2'746'360,,,,,0.01,0.02,0.03,0.03,0.07,0.24,0.32,0.42,0.52,0.77,1.06,2.80,6.02,9.13,,,,,,,,,Communication and Information Agency of Uzbekistan.,,ITU estimate.,,ITU estimate.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,ITU estimate.,,Communication and Information Agency of Uzbekistan.,,"State Committee for Communications, Informatization and Telecommunication Technologies ",,ITU estimate.,,"State Committee for Communications, Informatization and Telecommunication Technologies ",,"State Committee for Communications, Informatization and Telecommunication Technologies ",,"State Committee for Communications, Informatization and Telecommunication Technologies "
Vanuatu,,,,15,23,59,95,130,200,500,500,337,310,310,4'569,4'297,4'381,,,,,0.01,0.01,0.03,0.04,0.06,0.09,0.22,0.21,0.14,0.13,0.12,1.77,1.63,1.63,,,,,,,,,,,,,,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,Telecom Regulator. ,,Telecommunications & Radiocommunications Regulator,,Telecommunications & Radiocommunications Regulator,,Telecommunications & Radiocommunications Regulator,,Office of theTelecommunications & Radiocommunications Regulator,"Includes xDSL, fixed wireless data subscription and fixed broadband internet subscribers. The figure excludes prepaid wireless internet subscriptions.  Increase from 2013 has been due to operators investing in fiber optic cable and landing of the subarine cable in Vanuatu in Jan 2014 has increased capacity and reduced price thus increasing the number of subscribers.",Office of theTelecommunications & Radiocommunications Regulator,"Includes xDSL, fixed wireless data subscription and fixed broadband internet subscribers. Numbers are believed to have dropped as some subscribers have preferred to switch to mobile broadband alternatives as prices for these services have fallen and quality has increased.",Office of theTelecommunications & Radiocommunications Regulator,,Office of the Telecommunications & Radiocommunications Regulator
Venezuela,4'473,36'636,78'151,116'997,210'209,356'198,537'628,857'812,1'115'121,1'401'548,1'673'076,1'815'638,2'036'709,2'233'431,2'400'083,2'580'080,2'612'148,0,0.02,0.15,0.31,0.45,0.80,1.33,1.98,3.10,3.97,4.90,5.76,6.15,6.80,7.35,7.78,8.24,8.23,,>=56Kbps,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones,,Comisión Nacional de Telecomunicaciones,,Comisión Nacional de Telecomunicaciones,,Comisión Nacional de Telecomunicaciones,Final.,Comisión Nacional de Telecomunicaciones,,Comisión Nacional de Telecomunicaciones,Preliminary.,Comisión Nacional de Telecomunicaciones,Preliminary,Comisión Nacional de Telecomunicaciones
Viet Nam,,,1'076,9'180,52'709,210'024,516'569,1'294'111,2'048'953,3'214'179,3'669'321,3'838'206,4'775'368,5'152'576,6'000'527,7'657'619,9'335'186,,,,0.00,0.01,0.06,0.25,0.60,1.50,2.35,3.64,4.12,4.27,5.26,5.62,6.48,8.20,9.91,,,,,,,Vietnam Post & Telecommunications Corp. (VNPT).,,Vietnam Post & Telecommunications Corp. (VNPT).,,Ministry of Posts and Telematics (MPT).,,Ministry of Posts and Telematics (MPT).,,Ministry of Posts and Telematics (MPT).,,VNNIC.,,Ministry of Posts and Telematics (MPT).,,Ministry of Information and Communications.,,Ministry of Information and Communications,,Ministry of Information and Communications,,Ministry of Information and Communications,,Ministry of Information and Communications,,Ministry of Information and Communications,,Ministry of Information and Communications,,Ministry of Information and Communications
Virgin Islands (US),,,,,1'484,2'967,,5'933,7'416,9'000,9'100,,,9'100,9'100,9'000,,,,,,,1.37,2.75,,5.54,6.94,8.45,8.55,,,8.53,8.52,8.42,,,,,,,,,,,,ITU estimate.,,Virgin Islands Telephone Corporation (Vitelco).,,,,ITU estimate. ,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,
Wallis and Futuna,,,,,,,,225,691,880,1'061,1'130,1'177,1'265,1'376,1'000,,,,,,,,,,1.61,4.99,6.42,7.82,8.40,8.81,9.53,10.42,7.60,,,,,,,,,,,,,,,,,,ITU estimate.,,Service des Postes et Telecommunications (SPT).,,Service des Postes et Telecommunications (SPT).,,Service des Postes et Telecommunications (SPT).,,Service des Postes et Telecommunications,,Service des Postes et Telecommunications,,Service des Postes et Telecommunications,,Service des Postes et Telecommunications,,ITU estimate.,,
Yemen,,,,,,1'498,2'781,11'000,26'000,54'000,84'000,109'000,167'300,256'800,340'000,395'000,430'400,,,,,,,0.01,0.01,0.05,0.12,0.24,0.37,0.47,0.70,1.05,1.36,1.55,1.65,,,,,,,,,,,,,,,,,Ministry of Telecommunications and Information Technology. ,,Ministry of Telecommunications and Information Technology. ,,Ministry of Telecommunications and Information Technology. ,,Ministry of Telecommunications and Information Technology,,Ministry of Telecommunications and Information Technology,,Ministry of Telecommunications and Information Technology,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
